NAISTYP_SORT; FELD_NAME; FELD_WERT
"0001.0000000";"WVG_28";"0"
"0001.0000000";"WVG_29";"0"
"0001.0000000";"WVG_30";"0"
"0001.0000000";"WVG_31";"0"
"0001.0000000";"WVG_32";"0"
"0001.0000000";"WVG_33";"0"
"0001.0000000";"WVG_34";"0"
"0001.0000000";"WVG_35";"0"
"0001.0000000";"WVG_36";"0"
"0001.0000000";"WVS_01";"0"
"0001.0000000";"WVS_02";"0"
"0001.0000000";"WVS_03";"0"
"0001.0000000";"WVS_04";"0"
"0001.0000000";"WVS_05";"0"
"0001.0000000";"WVS_06";"0"
"0001.0000000";"WVS_07";"0"
"0001.0000000";"WVS_08";"0"
"0001.0000000";"WVS_09";"0"
"0001.0000000";"WVS_10";"0"
"0001.0000000";"WVS_11";"0"
"0001.0000000";"WVS_12";"0"
"0001.0000000";"WVS_13";"0"
"0001.0000000";"WVS_14";"0"
"0001.0000000";"WVS_15";"0"
"0001.0000000";"WVS_16";"0"
"0001.0000000";"WVS_17";"0"
"0001.0000000";"WVS_18";"0"
"0001.0000000";"WVS_19";"2"
"0001.0000000";"WVS_20";"2"
"0001.0000000";"WVS_21";"2"
"0001.0000000";"WVS_22";"0"
"0001.0000000";"WVS_23";"0"
"0001.0000000";"WVS_24";"0"
"0001.0000000";"WVS_25";"0"
"0001.0000000";"WVS_26";"1"
"0001.0000000";"WVS_27";"2"
"0001.0000000";"WVS_28";"2"
"0001.0000000";"WVS_29";"0"
"0001.0000000";"WVS_30";"0"
"0001.0000000";"WVS_31";"0"
"0001.0000000";"WVS_32";"0"
"0001.0000000";"WVS_33";"0"
"0001.0000000";"WVS_34";"0"
"0001.0000000";"WVS_35";"0"
"0001.0000000";"WVS_36";"0"
"0001.0000000";"WVS_37";"0"
"0001.0000000";"WVS_38";"0"
"0001.0000000";"WVS_39";"0"
"0001.0000000";"WVS_40";"0"
"0001.0000000";"WVS_41";"0"
"0001.0000000";"WVS_42";"0"
"0001.0090000";"AM_B";"2"
"0001.0090000";"AM_S";"1"
