NAISTYP_SORT; NAISTYP_C; NAISTYP_S20; NAISTYP_NAME_LAT; NAISTYP_NAME_DEU; NAISTYP_NAMK_DEU; NAISTYP_NAME_FRZ; NAISTYP_NAMK_FRZ; NTYP_C_ANHANG2A; NTYP_C_BSCHR_SEP; NTYP_C_BSCHR_TI; NTYP_W_B_ETAP1; NTYP_W_B_ETAP2; NTYP_G_P_ETAP1; NTYP_G_P_ETAP2; NTYP_BS_ETAP1; NTYP_BS_ETAP2; NTYP_SSKSMS_ETA1; NTYP_SSKSMS_ETA2; NTYP_DELARZE08; NTYP_C_ABGES; NTYP_C_GFX_ORT; NTYP_C_GFX_BODEN; NAISTYP_GFX; NAISTYP_WGES; NAISTYP_ANFP; NAISTYP_GFK; NAISTYP_GFEI; NAISTYP_GRB; NAISTYP_ANFP_05; NAISTYP_BEM; NTYP_NATP_ABK; NTYP_NATP_BED
18;18;Y;Festuco-Abieti-Fagetum;Waldschwingel-Tannen-Buchenwald;Waldschwingel-Ta-Bu-Wald;Hêtraie à  Sapin typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;18;Waldschwingel-Ta-Bu-Wald;18 18M 19 20;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;18 18M 19 20;;18;Ohne anstehendem Fels
18.000003;18Fe   ;Y;"Festuco-Abieti-Fagetum; Ausbildung auf Fels";Waldschwingel-Tannen-Buchenwald auf Fels;Waldschwingel-Ta-Bu-Wald auf Fels;Hêtraie à  Sapin typique sur rochers;;;;;;;;;;;;;;;x;;18Fe;Waldschwingel-Ta-Bu-Wald auf Fels;18 18M 19 20;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;;;18;Mit anstehendem Fels
18.00007;18M    ;Y;Adenostyle glabrae-Abieti-Fagetum typicum;Typischer Karbonat-Tannen-Buchenwald;Typischer Karbonat-Ta-Bu-Wald;Hêtraie à  Sapin avec Adénostyle glabre;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;18M;Typischer Karbonat-Ta-Bu-Wald;18 18M 19 20;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;18 18M 19 20;;18*;"Ohne Wechselfeuchtigkeitszeiger; ohne Trockenheitszeiger"
18.014;18w    ;Y;Adenostylo glabrae Abieti-Fagetum calamagrostietosum variae;Typischer Buntreitgras-Tannen-Buchenwald;Typischer Buntreitgras-Ta-Bu-Wald;Hêtraie à  Sapin avec Calamagrostide bigarrée;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;18w;Typischer Buntreitgras-Ta-Bu-Wald;18v 18w;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;18v 18w;;18*;"Mit Wechselfeuchtigkeitszeigern; ohne Carex ferruginea"
18.015;18v    ;Y;"Adenostylo glabrae Abieti-Fagetum calamagrostietosum variae; Ausbildung mit Carex ferruginea";Buntreitgras-Tannen-Buchenwald mit Rostsegge;Buntreitgras-Ta-Bu-Wald mit Rostsegge;Hêtraie à  Sapin avec Calamagrostide bigarrée et Laiche ferrugineuse;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;18v;Buntreitgras-Ta-Bu-Wald mit Rostsegge;18v 18w;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;18v 18w;;18*;"Mit Wechselfeuchtigkeitszeigern; mit Carex ferruginea"
18.1;18*    ;Y;Adenostyle glabrae-Abieti-Fagetum caricetosum albae;Karbonat-Tannen-Buchenwald mit Weissegge;Karbonat-Ta-Bu-Wald mit Weissegge;Hêtraie à  Sapin avec Laiche blanche;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;18Stern;Karbonat-Ta-Bu-Wald mit Weissegge;18*;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;18*;;18*;Mit Trockenheitszeigern
19;19;Y;Luzulo-Abieti-Fagetum typicum;Typischer Waldsimsen-Tannen-Buchenwald;Typischer Waldsimsen-Ta-Bu-Wald;Hêtraie à  Sapin avec Luzule des forêts;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;19;Typischer Waldsimsen-Ta-Bu-Wald;18 18M 19 20;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;18 18M 19 20;;19;"Ohne verdichteten Boden; ohne anstehendem Fels"
19.000003;19Fe   ;Y;"Luzulo-Abieti-Fagetum typicum; Ausbildung auf Fels";Typischer Waldsimsen-Tannen-Buchenwald auf Fels;Typischer Waldsimsen-Ta-Bu-Wald auf Fels;Hêtraie à  Sapin avec Luzule des forêts sur rochers;;;;;;;;;;;;;;;x;;19Fe;Typischer Waldsimsen-Ta-Bu-Wald auf Fels;18 18M 19 20;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;;;19;"Ohne verdichteten Boden; mit anstehendem Fels"
19.00006;19L    ;Y;Laburno-Abieti-Fagetum typicum;Typischer Goldregen-Tannen-Buchenwald;Typischer Goldregen-Ta-Bu-Wald;Hêtraie à  Sapin avec Aubours typique;;x;;;;;;;;;;;;;x;x;19L;Typischer Goldregen-Ta-Bu-Wald;19L;BUTA;Buche-Tanne;Tannen-Buchenwälder;19L;;19*;"Viel mittlere Arten; keine Basenzeiger; keine Feuchtigkeitszeiger"
19.0002;19LC   ;Y;Laburno-Abieti-Fagetum cardaminetosum kitaibelii;Goldregen-Tannen-Buchenwald mit Kitaibels Zahnwurz;Goldregen-Ta-Bu-Wald mit Kitaibels Zahnwurz;Hêtraie à  Sapin avec Aubours et Dentaire de Kitaibel;;;;;;;;;;;;;;;x;;19LC;Goldregen-Ta-Bu-Wald mit Kitaibels Zahnwurz;19LC;BUTA;Buche-Tanne;Tannen-Buchenwälder;;;19*;Viele mittlere Arten und Basenzeiger
19.00021;19LP   ;Y;Laburno-Abieti-Fagetum petasitetosum;Goldregen-Tannen-Buchenwald mit weisser Pestwurz;Goldregen-Ta-Bu-Wald mit weisser Pestwurz;Hêtraie à  Sapin avec Aubours et hautes herbes;;x 20*;;;Y;;;;Y;;Y;;;;x;x;19LP;Goldregen-Ta-Bu-Wald mit weisser Pestwurz;19LP;BUTA;Buche-Tanne ;Tannen-Buchenwälder;20*;;20*;Viele mittlere Arten und Feuchtigkeitszeiger
19.001;19a    ;Y;Luzulo-Abieti-Fagetum calamagrostietosum arundinaceae;Waldsimsen-Tannen-Buchenwald mit Rohrreitgras;Waldsimsen-Ta-Bu-Wald mit Rohrreitgras;Hêtraie à  Sapin avec Luzule des forêts et Calamagrostide des forêts;;;;x;Y;;Y;;Y;;Y;;;;x;x;19a;Waldsimsen-Ta-Bu-Wald mit Rohrreitgras;19a;BUTA;Buche-Tanne;Tannen-Buchenwälder;;"neues Anforderungsprofil: 1h mit Lärche und Föhre; sonstige Laubbäume (Winterlinde; Traubeneiche; Kastanie; Esche) 0 - 20 % ";19*;Wenig oder keine mittleren Arten
19.007;19f    ;Y;"Luzulo-Abieti-Fagetum; Ausbildung auf Pseudogley";Waldsimsen-Tannen-Buchenwald auf Pseudogley;Waldsimsen-Ta-Bu-Wald auf Pseudogley;Hêtraie à  Sapin avec Luzule des forêts sur pseudogley;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;19f;Waldsimsen-Ta-Bu-Wald auf Pseudogley;19f 20E;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;19f 20E;;19;Mit verdichtetem Boden
20;20;Y;Adenostylo alliariae-Abieti-Fagetum typicum;Hochstauden-Tannen-Buchenwald;Hochstauden-Ta-Bu-Wald;Hêtraie à  Sapin avec hautes herbes;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;20;Hochstauden-Ta-Bu-Wald;18 18M 19 20;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;18 18M 19 20;;20;"Ohne verdichteten Boden; ohne anstehendem  Fels"
20.000003;20Fe   ;Y;"Adenostylo alliariae-Abieti-Fagetum typicum; Ausbildung auf Fels";Hochstauden-Tannen-Buchenwald auf Fels;Hochstauden-Ta-Bu-Wald auf Fels;Hêtraie à  Sapin avec hautes herbes sur rochers;;;;;;;;;;;;;;;x;;20Fe;Hochstauden-Ta-Bu-Wald auf Fels;18 18M 19 20;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;;;20;"Ohne verdichteten Boden; mit anstehendem Fels"
20.00004;20E    ;Y;Adenostylo alliariae-Abieti-Fagetum hordelymetosum;Waldgersten-Tannen-Buchenwald;Waldgersten-Ta-Bu-Wald;Hêtraie à  Sapin avec Hordélyme d'Europe;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;20E;Waldgersten-Ta-Bu-Wald;19f 20E;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;19f 20E;;20;Mit verdichtetem Boden
21;21;Y;Aceri-Fagetum;Ahorn-Buchenwald;Ahorn-Bu-Wald;Hêtraie à  Érable;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;21;Ahorn-Bu-Wald;21;LHL;Laub hohe Lagen;Laubwälder hohe Lagen;21;;21;
21.00006;21L    ;Y;Laburno-Aceretum ;Goldregen-Ahornwald;Goldregen-Ahornwald;Erablaie à  Aubours;;;;x;Y;;Y;;Y;;Y;;;;x;;21L;Goldregen-Ahornwald;21L;LSE;Laub sonder extrem;Laubwälder Sonderwaldstandorte;;"neues Anforderungsprofil: Bergahorn und Laburnum 80 - 100 %; Bu. Ta; Esche; Fi 0 - 20 %";21**;
21.1;21*    ;Y;Alno viridi-Sorbetum aucupariae ;Grünerlen-Vogelbeerwald;Grünerlen-Vogelbeerwald;Forêt de Sorbiers à  Aune vert;;x;;;Y;;;;Y;;Y;;;;x;x;21Stern;Grünerlen-Vogelbeerwald;21*;LHL;Laub hohe Lagen;Laubwälder hohe Lagen;21*;;21* ;
22;22;Y;Phyllitido-Aceretum;Hirschzungen-Ahornwald;Hirschzungen-Ahornwald;Erablaie à  Langue-de-Cerf;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;22;Hirschzungen-Ahornwald;22 22A 22C 22*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;22;;22;"Mit Blockschutt; Region J; M; 1; 2"
22.000003;22Fe   ;Y;"Phyllitido-Aceretum; Ausbildung auf Fels";Hirschzungen-Ahornwald auf Fels;Hirschzungen-Ahornwald auf Fels;Erablaie à  Langue-de-Cerf sur rochers;;;;;;;;;;;;;;;x;;22Fe;Hirschzungen-Ahornwald auf Fels;22 22A 22C 22*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;;22;"Mit anstehendem Fels; Region J; M; 1; 2"
22.00001;22A    ;Y;Arunco-Aceretum;Geissbart-Ahornwald;Geissbart-Ahornwald;Erablaie à  Reine-des-bois;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;22A;Geissbart-Ahornwald;22 22A 22C 22*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;Anforderungsprofil von 22;22**Arunco-Aceretum;
22.00002;22C    ;Y;Corydalido-Aceretum;Lerchensporn-Ahornwald;Lerchensporn-Ahornwald;Erablaie à  Corydale;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;22C;Lerchensporn-Ahornwald;22 22A 22C 22*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;Anforderungsprofil von 22;22**Corydalido-Aceretum;
22.1;22*    ;Y;"Phyllitido-Aceretum; insubrische Ausbildung";Insubrischer Hirschzungen-Ahornwald;Insubrischer Hirschzungen-Ahornwald;Erablaie à  Langue-de-Cerf insubrienne;;;;x;Y;;Y;;Y;;Y;;;;x;;22Stern;Insubrischer Hirschzungen-Ahornwald;22 22A 22C 22*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;"neues Anforderungsprofil: 22 mit Hopfenbuche; Stechpalme; Eibe";22;Region 5
23;23;Y;Sorbo-Aceretum;Mehlbeer-Ahornwald;Mehlbeer-Ahornwald;Erablaie à  Alisier;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;23;Mehlbeer-Ahornwald;23;LSE;Laub sonder extrem;Laubwälder Sonderwaldstandorte;e;;23;Mit Schutt
23.000003;23Fe   ;Y;"Sorbo-Aceretum; Ausbildung auf Fels";Mehlbeer-Ahornwald auf Fels;Mehlbeer-Ahornwald auf Fels;Erablaie à  Alisier sur rochers;;;;;;;;;;;;;;;x;;23Fe;Mehlbeer-Ahornwald auf Fels;23;LSE;Laub sonder extrem;Laubwälder Sonderwaldstandorte;;;23;Mit anstehendem Fels
23.00016;23H    ;Y;Hepatico-Aceretum;Leberblümchen-Ahornwald;Leberblümchen-Ahornwald;Erablaie à  Hépatique;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;23H;Leberblümchen-Ahornwald;23H;ES;Esche;Eschen- und Erlenwälder;;neues Anforderungsprofil;24**;
23.1;23*    ;Y;Calamagrostio arundinaceae-Sorbetum ariae;Mehlbeerwald mit Rohr-Reitgras;Haselnuss-Mehlbeerwald;Forêt d'Alisiers à  calamagrostide des forêts;;x;;;Y;;;;Y;;Y;;;;x;;23Stern;Haselnuss-Mehlbeerwald;23*;LSE;Laub sonder extrem;Laubwälder Sonderwaldstandorte;;;23*;
24;24;Y;Ulmo-Aceretum asperuletosum taurinae;Ulmen-Ahornwald mit Turinermeister;Ulmen-Ahornwald mit Turinermeister;Erablaie à  Orme avec Aspérule de Turin;;;;;;;;;;;;;;;x;;24;Ulmen-Ahornwald mit Turinermeister;24 24*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;;24;
24.1;24*    ;Y;Ulmo-Aceretum typicum;Typischer Ulmen-Ahornwald;Typischer Ulmen-Ahornwald;Erablaie à  Orme;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;24Stern;Ulmen-Ahornwald;24 24*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;24*;;24*;Mit Schutt
24.100003;24*Fe  ;Y;"Ulmo-Aceretum typicum; Ausbildung auf Fels";Typischer Ulmen-Ahornwald auf Fels;Typischer Ulmen-Ahornwald auf Fels;Erablaie à  Orme sur rochers;;;;;;;;;;;;;;;x;;24SternFe;Ulmen-Ahornwald auf Fels;24 24*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;;24* ;Mit anstehendem Fels
25;25;Y;Asperulo taurinae-Tilietum typicum;Typischer Turinermeister-Lindenwald;Typischer Turinermeister-Lindenwald;Tillaie à  Aspérule de Turin;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;25;Typischer Turinermeister-Lindenwald;25 34*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;25;;25;"Ohne Feuchtezeiger; mit Schutt; Region J; M; 1; 2; 3"
25.000003;25Fe   ;Y;"Asperulo taurinae-Tilietum typicum; Ausbildung auf Fels";Typischer Turinermeister-Lindenwald auf Fels;Typischer Turinermeister-Lindenwald auf Fels;Tillaie à  Aspérule de Turin sur rochers;;;;;;;;;;;;;;;x;;25Fe;Typischer Turinermeister-Lindenwald auf Fels;25 34*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;;25;"Ohne Feuchtezeiger; mit anstehendem Fels; Region J; M; 1; 2; 3"
25.00001;25A    ;Y;Fraxino-Tilietum aegopodietosum;Eschen-Lindenmischwald mit Geissfuss;Eschen-Lindenmischwald mit Geissfuss;Tillaie-Frênaie à  Herbe-aux-goutteux;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;25grossA;Eschen-Lindenmischwald mit Geissfuss;25A;ES;Esche;Eschen- und Erlenwälder;;neues Anforderungsprofil;keine Zuordung möglich;
25.00011;25Q    ;Y;Querco-Tilietum;Eichen-Lindenmischwald;Eichen-Lindenmischwald;Tillaie à  Chênes;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;25Q;Eichen-Lindenmischwald;25Q;EIMI;Eichemisch;Eichenwälder;;neues Anforderungsprofil;keine Zuordung möglich;
25.00017;25O    ;Y;"Asperulo taurinae-Tilietum ostryetosum; insubrische Ausbildung";Trockener insubrischer Lindenmischwald mit Hopfenbuche;Trockener insubrischer Lindenmischwald mit Hopfenbuche;Tillaie à  Luzule blanc-de-neige insubrienne avec charme-houblon;;;;;;;;;;;;;;;x;x;25O;Feuchter insubrischer Schneesimsen-Lindenwald mit Hopfenbuche;25O;LSE;Laub sonder extrem;Laubwälder Sonderwaldstandorte;;"Neues Anforderungprofil: 25B; weniger W'Li und S'Li; sehr wenig B'Ah und F'Ul; dafür mehr Hopfenbuche";37;Mit Schutt
25.00019;25F    ;Y;Asperulo taurinae-Tilietum aegopodietosum;Turinermeister-Lindenwald mit Geissfuss;Turinermeister-Lindenwald mit Geissfuss;Tillaie à  Aspérule de Turin et Herbe-aux-goutteux;;;;;;;;;;;;;;;x;;25grossF;Turinermeister-Lindenwald mit Geissfuss;25F;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;;25;"Mit Feuchtezeigern; mit Schutt; Region J; M; 1; 2; 3"
25.000193;25FFe  ;Y;"Asperulo taurinae-Tilietum aegopodietosum; Ausbildung auf Fels";Turinermeister-Lindenwald mit Geissfuss auf Fels;Turinermeister-Lindenwald mit Geissfuss auf Fels;Tillaie à  Aspérule de Turin et Herbe-aux-goutteux sur rochers;;;;;;;;;;;;;;;x;;25grossFF;Turinermeister-Lindenwald mit Geissfuss auf Fels;25F;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;;25;"Mit Feuchtezeiger; mit anstehendem Felsen; Region J; M; 1; 2; 3"
25.001;25a    ;Y;"Luzulo niveae-Tilietum cordatae; typische insubrische Ausbildung";Typischer insubrischer Schneesimsen-Lindenwald;Typischer insubrischer Schneesimsen-Lindenwald;Tillaie à  Luzule blanc-de-neige insubrienne typique;;;;x;Y;;Y;;Y;;Y;;;;x;x;25a;Typischer insubrischer Schneesimsen-Lindenwald;25a;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;"Neues Anforderungsprofil: 25A-34mA azonaler Teil; ohne Bu; weinger Eiche; Kastanie";34*;"Ohne Feuchtezeiger; ohne Trockenheitszeiger; Region 4; 5"
25.001001;25as   ;Y;"Luzulo niveae-Tilietum cordatae; trockene insubrische Ausbildung";Trockener insubrischer Schneesimsen-Lindenwald;Trockener insubrischer Schneesimsen-Lindenwald;Tillaie à  Luzule blanc-de-neige insubrienne sur sol sec;;;;x;Y;;Y;;Y;;Y;;;;x;;25as;Trockener isubrischer Schneesimsen-Lindenwald;25as;LSE;Laub sonder extrem;Laubwälder Sonderwaldstandorte;;neues Anforderungsprofil;34*;"Mit Trockenheitszeiger; Region 4; 5"
25.002;25b    ;Y;"Asperulo taurinae-Tilietum typicum; insubrische Ausbildung";Insubrischer Turinermeister-Lindenwald;Insubrischer Turinermeister-Lindenwald;Tillaie insubrienne à  Aspérule de Turin;;x ;;;Y;;;;Y;;Y;;;;x;;25b;Insubrischer Turinermeister-Lindenwald;25b;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;25B;25B;25;"Region 4; 5"
25.005;25e    ;Y;Tilio-Fraxinetum;Linden-Eschen-Felsenwald;Linden-Eschen-Felsenwald;Tillaie-Frênaie sur rochers;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;25e;Linden-Eschen-Felsenwald;25e;LSE;Laub sonder extrem;Laubwälder Sonderwaldstandorte;;;25*;Mit anstehendem Fels
25.007;25f    ;Y;"Lunario-Acerion; Tilion; Arunco-Fraxinetum p. p.";"Schluchtwald; saure Ausbildung";"Schluchtwald; saure Ausbildung";Forêt de ravins insubrienne sur silice;;x 25AF;;;Y;;;;Y;;Y;;;;x;;25f;"Schluchtwald; saure Ausbildung";25f;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;25AF;25AF;34*;"Schluchtwald; Region 4; 5"
25.017;25au   ;Y;"Luzulo niveae-Tilietum cordatae; feuchte insubrische Ausbildung";Feuchter insubrischer Schneesimsen-Lindenwald;Feuchter insubrischer Schneesimsen-Lindenwald;Tillaie à  Luzule blanc-de-neige insubrienne sur sol humide ;;;;x;Y;;Y;;Y;;Y;;;;x;;25au;Feuchter insubrischer Schneesimsen-Lindenwald;25au;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;;"Neues Anforderungsprofil: 25Am-33m azonaler Teil; ohne Bu; weinger Eiche; Kastanie";34*;"Mit Feuchtezeigern; Region 4; 5"
25.1;25*    ;Y;Aceri-Tilietum / Asperulo taurinae-Tilietum tametosum;Ahorn-Lindenwald/Trockener Turinermeister-Lindenwald;Ahorn-Lindenwald/Trockener Turinermeister-Lindenwald;Tillaie à  Erable;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;25Stern;Ahorn-Lindenwald/Trockener Turinermeister-Lindenwald;25*;LS;Laub sonder  ;Laubwälder Sonderwaldstandorte;25*;;25*;Mit Schutt
26;26;Y;Aceri-Fraxinetum;Ahorn-Eschenwald;Ahorn-Eschenwald;Frênaie à  Érable;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;26;Ahorn-Eschenwald;26 29;ES;Esche;Eschen- und Erlenwälder;26;;26;"Untermontan und tiefer; ohne anstehendem Fels"
26.000003;26Fe   ;Y;"Aceri-Fraxinetum; Ausbildung auf Fels";Ahorn-Eschenwald auf Fels;Ahorn-Eschenwald auf Fels;Frênaie à  Érable sur rochers;;x;;;;;;;;;;;;;x;x;26Fe;Ahorn-Eschenwald auf Fels;26 29;ES;Esche;Eschen- und Erlenwälder;;;26;"Untermontan und tiefer; mit anstehendem Fels"
26.009;26h    ;Y;"Aceri-Fraxinetum; Höhenausbildung";"Ahorn-Eschenwald; Höhenausbildung";"Ahorn-Eschenwald; Höhenausbildung";Frênaie à  Érable avec Adénostyle;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;26h;"Ahorn-Eschenwald; Höhenausbildung";26h 26w 29h;LHL;Laub hohe Lagen;Laubwälder hohe Lagen;26h;;26;"Obermontan und höher; ohne Wechselfeuchtigkeitszeiger"
26.014;26w    ;Y;Aceri-Fraxinetum calamagrostietosum variae;Ahorn-Eschenwald mit Schlaffer Segge;Ahorn-Eschenwald mit Schlaffer Segge;Frênaie à  Érable avec Laiche glauque;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;26w;Ahorn-Eschenwald mit Schlaffer Segge;26h 26w 29h;LHL;Laub hohe Lagen;Laubwälder hohe Lagen;;;26;"Obermontan und höher; mit Wechselfeuchtigkeitszeiger"
27;27;Y;Carici remotae-Fraxinetum;Bach-Eschenwald;Bach-Eschenwald;Frênaie à  Laiche;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;27;Bach-Eschenwald;27;ES;Esche;Eschen- und Erlenwälder;27;;27;Untermontan und tiefer
27.00017;27O    ;Y;Osmundo-Alnetum  (syn Osmundo-Fraxinetum - Ceschi);Königsfarn-Schwarzerlenwald;Königsfarn-Schwarzerlenwald;Aunaie noire à  fougère royale;;;;x;Y;;Y;;Y;;Y;;;;x;;27O;Königsfarn-Schwarzerlenwald;27O;ER;Erle;Eschen- und Erlenwälder;33-27;Anforderungsprofil von 33-27 übernehmen;27**;
27.009;27h    ;Y;"Carici remotae-Fraxinetum; Ausbildung mit Petasites albus";"Bach-Eschenwald; Höhenausbildung";"Bach-Eschenwald; Höhenausbildung";Frênaie à  Laiche avec Adénostyle;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;27h;"Bach-Eschenwald; Höhenausbildung";27h;LHL;Laub hohe Lagen;Laubwälder hohe Lagen;27h;;27;Obermontan und höher
27.1;27*    ;Y;Adenostylo-Alnetum incanae;Hochstauden-Weisserlen-Ahornwald;Hochstauden-Weisserlen-Ahornwald;Aunaie à  Érable;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;27Stern;Hochstauden-Weisserlen-Ahornwald;27*;LHL;Laub hohe Lagen;Laubwälder hohe Lagen;27*;;27*;
28;28;Y;Ulmo-Fraxinetum equisetosum hyemalis;Ulmen-Eschen-Auenwald;Ulmen-Eschen-Auenwald;Frênaie à  Orme riveraine avec Prêle d'hiver;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;28;Ulmen-Eschen-Auenwald;28 29A 29C;Au;Auen Laub;Auenwälder Laub;;;28;
29;29;Y;Ulmo-Fraxinetum typicum;Ulmen-Eschenwald;Ulmen-Eschenwald;Frênaie à  Orme sur limons engorgés;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;29;Ulmen-Eschenwald;26 29;ES;Esche;Eschen- und Erlenwälder;;;29;"Kein Auenwald; untermontan und tiefer"
29.00001;29A    ;Y;Ulmo-Fraxinetum listeretosum;Zweiblatt-Eschen-Auenwald;Zweiblatt-Eschen-Auenwald;Frênaie à  Orme riveraine avec Listéra;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;29A;Zweiblatt-Eschen-Auenwald;28 29A 29C;Au;Auen Laub;Auenwälder Laub;;;29;Auenwald ohne Trockenheitszeiger
29.00002;29C    ;Y;Ulmo-Fraxinetum caricetosum albae;Ulmen-Eschen-Auenwald mit Weissegge;Ulmen-Eschen-Auenwald mit Weissegge;Frênaie à  Orme riveraine avec Laiche blanche;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;29C;Ulmen-Eschen-Auenwald mit Weissegge;28 29A 29C;Au;Auen Laub;Auenwälder Laub;;;29;Auenwald mit Trockenheitszeiger
29.009;29h    ;Y;Ulmo-Fraxinetum equisetosum sylvaticae;Ulmen-Eschenwald mit Waldschachtelhalm;Ulmen-Eschenwald mit Waldschachtelhalm;Frênaie à  Orme avec Prêle des bois;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;29h;Ulmen-Eschenwald mit Waldschachtelhalm;26h 26w 29h;LHL;Laub hohe Lagen;Laubwälder hohe Lagen;;;29;"Kein Auenwald; obermontan"
30;30;Y;Pruno-Fraxinetum;Traubenkirschen-Eschenwald;Traubenkirschen-Eschenwald;Frênaie à  Merisier à  grappes;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;30;Traubenkirschen-Eschenwald;30 44;ESER;Esche-Erle;Eschen- und Erlenwälder;;;30;
31;31;Y;Equiseto-Alnetum incanae;Tieflagen-Grauerlenwald;Tieflagen-Grauerlenwald;Aunaie riveraine de plaine à  Prêle ;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;31;Tieflagen-Grauerlenwald;31 32C 32V;Au;Auen Laub;Auenwälder Laub;;;31;
32.00002;32C    ;Y;Calamagrostio-Alnetum incanae;Untermontaner Grauerlenwald;Untermontaner Grauerlenwald;Aunaie riveraine à  Calamagrostide bigarrée;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;32C;Untermontaner Grauerlenwald;31 32C 32V;Au;Auen Laub;Auenwälder Laub;;;32;Untermontan und tiefer
32.00012;32S    ;Y;Alno-Salicetum pentandrae;Subalpiner Loorbeerweiden-Auenwald;Subalpiner Loorbeerweiden-Auenwald;Forêt riveraine subalpine à  Saule laurier;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;;32S;Subalpiner Loorbeerweidenauenwald;32S;Au;Auen Laub;Auenwälder Laub;;;32*;
32.00014;32V    ;Y;Violo-Alnetum incanae;Obermontaner Grauerlenwald;Obermontaner Grauerlenwald;Aunaie riveraine à  Pensée à  deux fleurs;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;32V;Obermontaner Grauerlenwald;31 32C 32V;Au;Auen Laub;Auenwälder Laub;;;32;Obermontan und höher
