id;clnr;x;y;ip5areproz;ip50proz;custom_forest_type_code;custom_transition_forest_type_code;forest_type_code;transition_forest_type_code;altitudinal_zones_1995_code;altitudinal_zones_2085_less_dry_code;altitudinal_zones_2085_dry_code;forest_ecoregion_code;silver_fir_area_code
27956;572;2697003;1286008;100,00;90,70;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
27957;636;2673999;1284997;25,10;37,80;N3000.0000000;;u;;-10;-10;-10;J;1
27958;636;2673999;1284997;56,30;28,70;N0013.0010000;;13a;;-10;-10;-10;J;1
27959;636;2673999;1284997;15,70;17,40;N0009.0010000;N0013.0010000;9a;13a;-10;-10;-10;J;1
27960;636;2673999;1284997;2,10;6,70;N0013.0010000;;13a;;-10;-10;-10;J;1
27961;636;2673999;1284997;0,70;6,90;N0010.0140000;;10w;;-10;-10;-10;J;1
27962;636;2673999;1284997;0,00;1,10;N3011.0000000;;u-11;;-10;-10;-10;J;1
27963;636;2673999;1284997;0,00;1,40;N3001.0000000;;u-1;;-10;-10;-10;J;1
27964;652;2682003;1285001;100,00;98,70;N0010.0010000;;10a;;40;40;20;J;1
27965;652;2682003;1285001;0,00;1,30;N3003.0000000;;u-3;;40;40;20;J;1
27966;656;2684001;1285002;100,00;100,00;N0012.0010000;N0009.0010000;12a;9a;50;40;20;J;1
27967;660;2685998;1285002;100,00;100,00;N0007.0010000;N0009.0010000;7a;9a;40;40;20;J;1
27968;664;2688002;1284999;100,00;100,00;N0009.0010000;;9a;;40;20;20;M;1
27969;672;2691999;1284997;23,60;16,80;N0007.0001200;;7S;;40;20;20;M;1
27970;672;2691999;1284997;76,40;83,20;N0007.0010000;;7a;;40;20;20;M;1
27971;682;2700001;1285002;100,00;100,00;N0007.0010000;;7a;;40;20;20;M;1
27972;780;2687002;1283998;33,40;31,70;N0007.0010000;;7a;;50;20;20;M;1
27973;780;2687002;1283998;0,00;8,30;N0009.0010000;;9a;;50;20;20;M;1
27974;780;2687002;1283998;66,50;60,00;N0006.0000000;;6;;50;20;20;M;1
27975;805;2705002;1283997;100,00;100,00;N0007.0010000;;7a;;40;20;20;M;1
27976;867;2674001;1282999;100,00;100,00;N0007.0010000;N0009.0010000;7a;9a;40;20;20;J;1
27977;895;2687997;1283002;4,40;23,80;N0007.0010000;;7a;;40;20;20;M;1
27978;895;2687997;1283002;13,20;7,60;N3001.0000000;;u-1;;40;20;20;M;1
27979;895;2687997;1283002;82,40;68,70;N0007.0010000;;7a;;40;20;20;M;1
27980;907;2694005;1282999;100,00;100,00;N0029.0000000;N0035.0000000;29;35;40;20;20;M;1
27981;924;2706004;1283002;100,00;100,00;N0007.0010000;;7a;;40;40;20;M;1
27982;1012;2683000;1282001;100,00;100,00;N0009.0010000;;9a;;50;40;20;J;1
27983;1016;2685005;1281998;100,00;100,00;N0009.0010000;N0007.0010000;9a;7a;40;40;20;J;1
27984;1020;2687000;1282003;100,00;93,70;N0007.0010000;;7a;;40;20;20;M;1
27985;1020;2687000;1282003;0,00;6,30;N0007.0001200;;7S;;40;20;20;M;1
27986;1028;2690997;1281995;100,00;100,00;N0006.0000000;N0007.0010000;6;7a;40;20;20;M;1
27987;1036;2695005;1282000;0,00;9,20;N0035.0000000;N0007.0010000;35;7a;40;20;20;M;1
27988;1036;2695005;1282000;100,00;90,80;N0035.0000000;N0009.0010000;35;9a;40;20;20;M;1
27989;1053;2705007;1282008;6,20;19,40;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
27990;1053;2705007;1282008;93,80;80,60;N0006.0000000;;6;;40;20;20;M;1
27991;1170;2678000;1281000;7,00;28,50;N0006.0000000;;6;;40;40;20;J;1
27992;1170;2678000;1281000;93,00;71,50;N0007.0010000;;7a;;40;40;20;J;1
27993;1174;2679998;1280998;100,00;100,00;N0009.0010000;;9a;;40;40;20;J;1
27994;1178;2682009;1281000;100,00;100,00;N0012.0010000;N0009.0010000;12a;9a;50;40;20;J;1
27995;1182;2684002;1281003;18,90;74,00;N0007.0010000;N0007.0001200;7a;7S;50;20;20;J;1
27996;1182;2684002;1281003;81,10;26,00;N0007.0001200;N0007.0010000;7S;7a;50;20;20;J;1
27997;1186;2686001;1281000;100,00;100,00;N0009.0010000;;9a;;40;20;20;M;1
27998;1194;2690002;1280998;0,00;4,70;N0007.0010000;;7a;;40;20;20;M;1
27999;1194;2690002;1280998;100,00;95,30;N0007.0001200;;7S;;40;20;20;M;1
28000;1206;2696006;1280999;0,00;12,90;N3001.0000000;;u-1;;40;20;20;M;1
