custom_forest_type_code;forest_type_code;latin;german
N0057.0001200;57S;Homogyno-Piceetum sphagnetosum;Alpenlattich-Fi-Wald mit Torfmoos
N0057.0001202;57STa;Homogyno-Piceetum sphagnetosum mit Tanne;Alpenlattich-Fi-Wald mit Torfmoos und Tanne
N0057.0001400;57V;Homogyno-Piceetum vaccinietosum myrtilli;Alpenlattich-Fi-Wald mit Heidelbeere
N0057.0001401;57VLä;"Homogyno-Piceetum vaccinietosum myrtilli; Lärchenausbildung";Alpenlattich-Fi-Wald mit Heidelbeere, Lärchenausbildung
N0057.0001402;57VTa;Homogyno-Piceetum vaccinietosum myrtilli mit Tanne;Alpenlattich-Fi-Wald mit Heidelbeere und Tanne
N0057.0001800;57VM;Homogyno-Piceetum valerianetosum montanae;Alpenlattich Fi-Wald mit Bergbaldrian
N0058.0000000;58;Larici-Piceetum typicum;Typischer Preiselbeer-Fi-Wald
N0058.0000001;58Lä;"Larici-Piceetum typicum; Lärchenausbildung";Typischer Preiselbeer-Fi-Wald, Lärchenausbildung
N0058.0000020;58Bl;"Larici-Piceetum typicum; Blockausbildung";Preiselbeer-Fi-Wald, Blockausbildung
N0058.0000030;58Fe;"Larici-Piceetum typicum; Ausbildung auf Fels";Typischer Preiselbeer-Fi-Wald auf Fels
N0058.0000200;58C;Larici-Piceetum calamagrostietosum villosae;Preiselbeer-Fi-Wald mit Wollreitgras
N0058.0000600;58L;Larici-Piceetum laserpitietosum halleri;Preiselbeer-Fi-Wald mit Laserkraut
N0058.0000601;58LLä;"Larici-Piceetum laserpitietosum halleri; Lärchenausbildung";Preiselbeer-Fi-Wald mit Laserkraut, , Lärchenausbildung
N0059.0000000;59;Larici-Pinetum cembrae typicum;Lärchen-Arvenwald mit Alpenrose
N0059.0000001;59Lä;"Larici-Pinetum cembrae typicum; Lärchenausbildung";Lärchen-Arvenwald mit Alpenrose, Lärchenausbildung
N0059.0000100;59A;Adenostylo-Laricetum;Hochstauden-Lärchenwald
N0059.0000200;59C;Cotoneastro-Pinetum cembrae;Steinmispel-Arvenwald
N0059.0000400;59E;Larici- Pinetum cembrae ericetosum;Lärchen-Arvenwald mit Erika
N0059.0000401;59ELä;"Larici- Pinetum cembrae ericetosum; Lärchenausbildung";Lärchen-Arvenwald mit Erika, Lärchenausbildung
N0059.0000500;59J;Junipero-Laricetum;Wacholder-Lärchenwald
N0059.0000600;59L;Larici-Pinetum cembrae laserpitietosum halleri;Lärchen-Arvenwald mit Laserkraut
N0059.0000601;59LLä;"Larici-Pinetum cembrae laserpitietosum halleri; Lärchenausbildung";Lärchen-Arvenwald mit Laserkraut, Lärchenausbildung
N0059.0001200;59S;Seslerio-Laricetum;Blaugras-Lärchenwald
N0059.0001400;59V;Larici-Pinetum cembrae vaccinietosum myrtilli;Lärchen-Arvenwald mit Heidelbeere
N0059.0001401;59VLä;"Larici-Pinetum cembrae vaccinietosum myrtilli; Lärchenausbildung";Lärchen-Arvenwald mit Heidelbeere, Lärchenausbildung
N0059.0001600;59H;Larici-Pinetum cembrae rhododendretosum hirsuti;Lärchen-Arvenwald mit Steinrose
N0059.0001800;59R;Larici-Pinetum cembrae rumicetosum scutati;Lärchenwald mit schildblättriger Ampfer
N0059.1000000;59*;Rhododendro ferruginei-Laricetum;Alpenrosen-Lärchenwald
N0060.0000000;60;Adenostylo-Piceetum typicum;Typischer Hochstauden-Fi-Wald
N0060.0000001;60Lä;"Adenostylo-Piceetum typicum; Lärchenausbildung";Typischer Hochstauden-Fi-Wald, Lärchenausbildung
N0060.0000002;60Ta;Adenostylo-Piceetum typicum mit Tanne;Typischer Hochstauden-Fi-Wald mit Tanne
