CLNR;x;y;IP5AREPROZ;IP50PROZ;custom_forest_type_code;custom_transition_forest_type_code
1194;2690002;1280998;0,00;4,70;N0007.0010000;
1194;2690002;1280998;100,00;95,30;N0007.0001200;
1206;2696006;1280999;0,00;12,90;N3001.0000000;
1206;2696006;1280999;100,00;80,20;N0007.0010000;
1206;2696006;1280999;0,00;6,90;N0007.0010000;
1214;2699999;1280996;100,00;100,00;N0007.0010000;N0006.0000000
1218;2702002;1281001;88,10;57,20;N0007.0001200;
1218;2702002;1281001;11,80;42,80;N0007.0010000;
1222;2703998;1280998;0,00;5,60;N0007.0001200;N0029.0000000
1222;2703998;1280998;100,00;94,40;N0007.0010000;
1239;2719999;1281001;81,10;55,70;N0009.0010000;
1239;2719999;1281001;1,80;18,20;N0015.0000000;
1239;2719999;1281001;17,00;26,20;N0011.0000000;
1365;2680995;1280003;84,70;63,20;N0009.0010000;N0007.0010000
1365;2680995;1280003;15,30;36,80;N0009.0010000;
1369;2684998;1279998;92,70;98,40;N0007.0010000;
1369;2684998;1279998;7,30;1,60;N0007.0001200;
1378;2691002;1279995;0,00;22,20;N3003.0000000;
1378;2691002;1279995;100,00;77,80;N0007.0010000;N0006.0000000
1382;2693001;1279993;100,00;89,60;N0007.0010000;N0006.0000000
1382;2693001;1279993;0,00;10,40;N0006.0000000;
1402;2703003;1280006;50,80;68,70;N3009.0000000;
1402;2703003;1280006;49,20;23,60;N0030.0000000;
1402;2703003;1280006;0,00;7,70;N0030.0000000;
1419;2717000;1279998;44,10;34,60;N0010.0140000;
1419;2717000;1279998;0,00;20,90;N0010.0010000;
1419;2717000;1279998;40,10;24,80;N0014.0000000;
1419;2717000;1279998;10,80;7,20;N0027.0000000;
1419;2717000;1279998;5,00;12,60;N3001.0000000;
1427;2721002;1280001;19,90;10,70;N3001.0000000;
1427;2721002;1280001;6,30;9,40;N0007.0001200;
1427;2721002;1280001;73,80;64,10;N0007.0001200;
1427;2721002;1280001;0,00;15,80;N0007.0010000;
1431;2722999;1280002;0,00;5,90;N0026.0000000;
1431;2722999;1280002;4,30;19,80;N0017.0000000;
1431;2722999;1280002;95,70;74,40;N0007.0010000;N0006.0000000
1563;2679997;1279004;100,00;100,00;N0007.0010000;N0008.0010000
1580;2696006;1278999;100,00;51,60;N0007.0001200;N0029.0000000
1580;2696006;1278999;0,00;41,30;N0007.0001200;
1580;2696006;1278999;0,00;7,00;N3001.0000000;
1584;2698002;1278998;100,00;100,00;N0007.0010000;N0009.0010000
1592;2702004;1279001;100,00;100,00;N0007.0010000;N0006.0000000
1596;2703999;1278997;100,00;85,80;N0009.0010000;
1596;2703999;1278997;0,00;3,80;N3002.0000000;
1596;2703999;1278997;0,00;10,40;N0007.0010000;
1604;2708001;1278995;40,60;49,90;N3009.0000000;
1604;2708001;1278995;59,40;50,10;N0029.0000100;
1612;2714005;1279003;0,00;4,20;N0009.0010000;
1612;2714005;1279003;100,00;95,80;N0007.0010000;
1620;2718001;1279002;18,90;31,40;N0008.0001200;
1620;2718001;1279002;81,10;68,60;N0008.0010000;
1624;2719999;1279003;28,40;27,90;N3002.0000000;
1624;2719999;1279003;1,20;11,90;N0008.0001200;
1624;2719999;1279003;14,80;10,40;N0026.0000000;
1624;2719999;1279003;27,30;17,90;N0008.0010000;
1624;2719999;1279003;28,30;31,90;N0008.0001200;
1628;2722006;1279005;0,00;11,30;N0008.0001200;N0026.0000000
1628;2722006;1279005;100,00;88,70;N0008.0001200;
1636;2726000;1279001;88,90;69,90;N0009.0010000;
1636;2726000;1279001;11,10;30,10;N0007.0010000;N0009.0010000
1779;2679002;1278003;30,60;42,70;N0014.0000000;
1779;2679002;1278003;69,40;57,30;N0013.0050000;
1799;2695003;1278000;0,00;22,90;N0007.0010000;N0009.0010000
1799;2695003;1278000;100,00;77,10;N0007.0001200;
1803;2697004;1277997;48,40;44,50;N0007.0010000;N0009.0010000
1803;2697004;1277997;51,60;55,50;N0007.0010000;N0006.0000000
1807;2699004;1278003;65,30;61,10;N0007.0010000;
