CLNR;x;y;IP5AREPROZ;IP50PROZ;custom_forest_type_code;custom_transition_forest_type_code
19199;2641000;1248001;100,00;100,00;N0007.0010000;
19207;2644999;1248000;100,00;100,00;N0007.0001200;
19219;2651013;1248001;100,00;93,80;N0007.0010000;
19219;2651013;1248001;0,00;6,20;N0007.0020000;
19231;2656999;1247999;0,00;15,70;N0007.0001200;
19231;2656999;1247999;100,00;84,30;N0007.0010000;
19263;2673002;1248002;71,80;63,10;N0007.0001200;
19263;2673002;1248002;28,10;36,90;N0007.0010000;
19271;2676990;1247984;100,00;100,00;N0007.0010000;
19291;2687001;1247997;100,00;100,00;N0007.0001200;
19295;2689007;1248004;12,70;30,70;N0017.0000000;
19295;2689007;1248004;87,30;69,30;N0008.0010000;N0012.0010000
19327;2704998;1248002;0,00;9,00;N3003.0000000;
19327;2704998;1248002;100,00;91,00;N0012.0010000;N0008.0010000
19335;2709000;1247999;0,00;4,30;N0017.0000000;N0026.0000000
19335;2709000;1247999;0,00;14,40;N0017.0000000;
19335;2709000;1247999;2,30;11,30;N3010.0000000;
19335;2709000;1247999;0,00;3,00;N0017.0000000;
19335;2709000;1247999;97,70;46,30;N0017.0000000;N0026.0000000
19335;2709000;1247999;0,00;6,80;N0012.0001200;
19335;2709000;1247999;0,00;13,80;N0017.0000000;
19339;2711001;1248008;0,00;9,70;N0012.0010000;
19339;2711001;1248008;67,00;51,30;N0017.0000000;
19339;2711001;1248008;33,00;39,00;N0012.0050000;
19343;2713003;1248000;0,00;2,50;N0017.0000000;
19343;2713003;1248000;11,90;30,60;N0017.0000000;
19343;2713003;1248000;88,10;66,90;N0016.0000000;
19347;2714998;1248001;27,00;10,20;N0012.0001200;N0026.0000000
19347;2714998;1248001;67,90;65,20;N0012.0010000;
19347;2714998;1248001;0,00;3,00;N3000.0000000;
19347;2714998;1248001;5,10;21,60;N0012.0140000;
19371;2727002;1248004;89,80;62,80;N0029.0000200;
19371;2727002;1248004;10,20;14,90;N0029.0000100;
19371;2727002;1248004;0,00;14,20;N0015.0000000;
19371;2727002;1248004;0,00;7,20;N3010.0000000;
19371;2727002;1248004;0,00;1,00;N3008.0000000;
19375;2729002;1248001;28,30;18,80;N3009.0000000;
19375;2729002;1248001;6,70;9,90;N0012.0001200;
19375;2729002;1248001;45,10;15,10;N0027.0000000;
19375;2729002;1248001;1,80;22,70;N0008.0010000;N0012.0010000
19375;2729002;1248001;8,80;6,30;N0008.0001200;
19375;2729002;1248001;9,20;27,10;N3004.0000000;
19379;2731006;1248007;74,20;31,40;N0012.0010000;
19379;2731006;1248007;0,00;7,70;N0017.0000000;
19379;2731006;1248007;18,00;36,70;N3003.0000000;
19379;2731006;1248007;7,80;24,20;N0008.0001200;
19399;2741004;1248004;100,00;100,00;N0012.0140000;
19407;2745000;1248001;0,00;16,00;N3005.0000000;
19407;2745000;1248001;62,00;47,50;N0012.0001200;
19407;2745000;1248001;38,00;26,70;N0012.0010000;
19407;2745000;1248001;0,00;9,90;N0012.0140000;
19869;2564006;1247004;62,80;54,70;N0012.0010000;N0012.0050000
19869;2564006;1247004;37,10;45,30;N0012.0010000;
19873;2565989;1247006;100,00;100,00;N0008.0001200;
19877;2567996;1247001;100,00;100,00;N0013.0010000;N0018.0000700
19881;2570001;1247008;100,00;100,00;N0012.0001200;N0020.0000000
19885;2572001;1247000;100,00;100,00;N0012.0010000;
19893;2575996;1246993;100,00;100,00;N0012.0010000;
19897;2578000;1246995;100,00;100,00;N0012.0010000;
19905;2582007;1247001;100,00;100,00;N0012.0010000;
19909;2584001;1246999;31,80;42,90;N0009.0010000;N0007.0010000
19909;2584001;1246999;37,90;14,50;N0009.0010030;
19909;2584001;1246999;30,20;42,60;N0012.0010000;
19913;2586001;1246993;16,50;33,20;N0010.0140000;N3005.0000000
19913;2586001;1246993;83,50;66,80;N0012.0140000;
19921;2590005;1246993;100,00;100,00;N0009.0010000;N0012.0010000
19937;2598000;1246999;100,00;100,00;N0014.0000000;
19941;2600001;1246996;0,00;2,60;N0012.0050000;
19941;2600001;1246996;100,00;97,40;N0012.0010000;
19945;2601998;1247002;100,00;100,00;N0013.0010000;N0012.0010000
19949;2604000;1247008;8,20;31,50;N0012.0010000;N0018.0000700
19949;2604000;1247008;91,80;68,50;N0012.0010000;N0013.0090000
19973;2616001;1246995;0,00;9,70;N0013.0010000;
19973;2616001;1246995;79,30;58,30;N0012.0050000;N0013.0050000
19973;2616001;1246995;20,70;32,00;N0012.0050000;N0016.0000000
19977;2618001;1246998;100,00;88,00;N0018.0000000;
19977;2618001;1246998;0,00;12,00;N0018.1000000;
19985;2622004;1247001;100,00;100,00;N0012.0010000;
19989;2624004;1247006;65,90;42,60;N0016.0000000;
19989;2624004;1247006;26,30;10,60;N0012.0140000;N0013.0050000
19989;2624004;1247006;0,00;8,00;N3003.0000000;
19989;2624004;1247006;7,70;38,90;N0012.0140000;
19993;2625999;1247002;44,80;48,40;N0012.0010000;N0013.0010000
19993;2625999;1247002;55,20;51,60;N3003.0000000;
20005;2632006;1246995;0,00;14,10;N3001.0000000;
20005;2632006;1246995;46,70;30,70;N0013.0010000;
20005;2632006;1246995;53,30;50,10;N0012.0001200;N0022.0000000
20005;2632006;1246995;0,00;5,20;N0014.0000000;N0013.0010000
20009;2634008;1246997;100,00;100,00;N0012.0050000;
20021;2639992;1247005;0,00;6,40;N3001.0000000;
20021;2639992;1247005;100,00;77,90;N0006.0000000;
20021;2639992;1247005;0,00;15,70;N0006.0000000;
20041;2649998;1247003;0,00;3,60;N0026.0000000;
20041;2649998;1247003;100,00;96,40;N0007.0010000;
20049;2653990;1247001;100,00;100,00;N0007.0010000;N0006.0000000
20053;2655996;1247002;0,00;9,10;N0007.0010000;N0006.0000000
20053;2655996;1247002;1,00;24,70;N0029.0000000;
20053;2655996;1247002;10,20;7,40;N0026.0000000;
20053;2655996;1247002;88,80;58,70;N0007.0001200;
20065;2661999;1247001;99,70;74,10;N0007.0010000;N0006.0000000
20065;2661999;1247001;0,30;25,90;N0007.0010000;
20085;2672001;1247000;92,70;57,50;N0007.0001200;N0026.0000000
20085;2672001;1247000;0,00;14,50;N0007.0010000;N0009.0010000
20085;2672001;1247000;0,00;16,10;N0007.0001200;
20085;2672001;1247000;7,30;11,90;N3001.0000000;
20089;2674002;1247003;100,00;100,00;N0007.0010000;
20097;2678007;1247002;100,00;100,00;N0007.0010000;
20113;2686004;1247000;0,00;17,10;N0007.0010000;N0009.0010000
20113;2686004;1247000;47,20;31,70;N0026.0000000;
20113;2686004;1247000;52,80;51,30;N0007.0010000;N0009.0010000
20117;2688007;1247004;33,40;35,90;N0007.0001200;
20117;2688007;1247004;0,00;8,20;N0007.0010000;
20117;2688007;1247004;0,00;13,50;N3003.0000000;
20117;2688007;1247004;59,50;25,10;N0007.0010000;
20117;2688007;1247004;7,00;17,40;N0007.0010000;N0010.0010000
20137;2698005;1246999;77,90;49,60;N0007.0001200;
20137;2698005;1246999;22,10;50,40;N0007.0010000;
20169;2714002;1246999;55,30;50,80;N3003.0000000;
20169;2714002;1246999;44,70;49,20;N0012.0010000;
20189;2724001;1246999;56,80;33,10;N3003.0000000;
20189;2724001;1246999;0,00;2,10;N0009.0010000;
20189;2724001;1246999;0,00;11,80;N0009.0010030;
20189;2724001;1246999;26,10;23,70;N0013.0010000;N0011.0000000
20189;2724001;1246999;17,10;21,80;N0029.0000200;
20189;2724001;1246999;0,00;0,40;N3003.0000000;
20189;2724001;1246999;0,00;4,80;N3010.0000000;
20189;2724001;1246999;0,00;2,10;N0009.0010000;
20213;2736002;1247004;24,50;29,10;N3005.0000000;
20213;2736002;1247004;0,00;7,60;N0008.0010000;N0012.0010000
20213;2736002;1247004;75,50;60,90;N0008.0010000;N0008.1000000
20213;2736002;1247004;0,00;2,40;N0012.0010000;
20217;2738000;1246992;0,80;22,40;N3003.0000000;
20217;2738000;1246992;99,20;77,60;N0008.0040000;N0008.0010000
20221;2740002;1247002;37,60;45,50;N3000.0000000;
20221;2740002;1247002;14,80;11,20;N0008.0010000;
20221;2740002;1247002;42,10;8,50;N0008.0040000;
20221;2740002;1247002;1,40;17,60;N0026.0000000;N0017.0000000
20221;2740002;1247002;4,10;17,30;N0012.0140000;N0017.0000000
20229;2743997;1247004;0,00;5,40;N0008.0010000;
20229;2743997;1247004;4,20;18,70;N0008.0001200;
20229;2743997;1247004;91,30;70,80;N3000.0000000;
20229;2743997;1247004;4,60;5,10;N0008.0040000;
20233;2745998;1246998;50,70;21,60;N0012.0001200;
20233;2745998;1246998;27,70;24,40;N0008.0001200;
20233;2745998;1246998;6,00;23,60;N3003.0000000;
20233;2745998;1246998;15,40;13,20;N0027.0000000;
20233;2745998;1246998;0,00;9,10;N0012.0001200;
20233;2745998;1246998;0,10;8,10;N0012.0010000;N0008.0010000
20253;2755999;1246994;83,70;64,50;N0019.0000000;
20253;2755999;1246994;0,00;5,90;N0020.0000400;N0018.0000700
20253;2755999;1246994;16,30;26,30;N0027.0090000;N0020.0000400
20253;2755999;1246994;0,00;3,40;N0020.0000400;N0018.0000700
20696;2570989;1245997;100,00;85,30;N0012.0010000;
20696;2570989;1245997;0,00;14,70;N0012.0001200;
20700;2573007;1245996;0,40;25,20;N0012.0010000;
20700;2573007;1245996;99,60;74,80;N0012.0001200;
20704;2574992;1245988;77,20;61,40;N0010.0010000;
20704;2574992;1245988;0,00;20,70;N0009.0010000;
20704;2574992;1245988;22,80;17,90;N3001.0000000;
20712;2578997;1246001;100,00;100,00;N0012.0050000;
20720;2583001;1245995;100,00;100,00;N0012.0010000;
20724;2585005;1246001;2,70;25,50;N0007.0010000;
20724;2585005;1246001;23,90;13,40;N3001.0000000;
20724;2585005;1246001;73,30;61,10;N0007.0010000;
20732;2588992;1246012;100,00;100,00;N0007.0010000;N0009.0010000
20756;2601019;1245997;0,00;21,30;N0009.0010000;
20756;2601019;1245997;100,00;78,70;N0010.0010000;
20768;2607004;1246004;100,00;100,00;N0012.0010000;
20776;2611001;1246001;19,20;29,20;N0009.0140000;
20776;2611001;1246001;80,80;70,80;N0009.0010000;
20780;2613002;1245997;0,00;23,00;N3002.0000000;
20780;2613002;1245997;60,70;39,10;N0013.0010000;
20780;2613002;1245997;20,60;14,50;N0012.0010000;
20780;2613002;1245997;18,70;23,40;N0012.0050000;
20784;2615010;1246003;32,00;26,20;N0022.0000000;
20784;2615010;1246003;48,50;21,50;N0012.0010000;
20784;2615010;1246003;0,00;16,50;N0012.0140000;
20784;2615010;1246003;19,50;35,90;N3005.0000000;
20812;2628998;1245993;100,00;100,00;N0018.0000000;
20820;2633009;1246000;0,00;15,40;N0016.0000000;
20820;2633009;1246000;0,00;5,60;N0012.0010000;
20820;2633009;1246000;100,00;79,10;N0013.0010000;
20840;2642996;1246000;100,00;100,00;N0007.0010000;
20860;2653003;1246001;30,00;31,40;N0009.0010000;
20860;2653003;1246001;70,00;68,60;N0007.0010000;
20868;2657003;1245991;100,00;77,30;N0006.0000000;
20868;2657003;1245991;0,00;22,70;N0007.0010000;N0006.0000000
20888;2667001;1245992;62,90;53,40;N0007.0010000;
20888;2667001;1245992;36,80;24,50;N0007.0001200;
20888;2667001;1245992;0,30;22,10;N3003.0000000;
20900;2673001;1245997;100,00;100,00;N0029.0000000;N0030.0000000
20912;2679005;1245995;44,70;49,80;N0011.0000000;
20912;2679005;1245995;55,30;50,20;N0026.0000000;
20916;2680999;1246000;0,00;5,30;N3001.0000000;
20916;2680999;1246000;100,00;94,70;N0007.0001200;
20932;2689003;1245996;100,00;100,00;N0007.0001200;
20936;2691003;1246000;0,00;12,80;N3003.0000000;
20936;2691003;1246000;0,80;15,40;N0007.0010000;N0010.0010000
20936;2691003;1246000;99,20;71,80;N0007.0010000;
20968;2707000;1246009;0,00;4,90;N0012.0050000;
20968;2707000;1246009;100,00;95,10;N0008.0010000;N0012.0010000
20980;2712997;1246003;0,00;6,10;N3003.0000000;
20980;2712997;1246003;100,00;93,90;N0008.0010000;N0012.0010000
20988;2717002;1246000;19,30;9,20;N3001.0000000;
20988;2717002;1246000;14,30;26,00;N0018.0000700;N0020.0000000
20988;2717002;1246000;0,00;1,50;N0018.0000700;
20988;2717002;1246000;25,70;46,60;N0018.0000700;
20988;2717002;1246000;40,70;16,70;N0018.0000700;
21024;2735000;1246001;0,00;5,40;N0008.0001200;
21024;2735000;1246001;100,00;94,60;N0018.0000000;
21036;2741001;1246002;22,00;39,30;N0008.0001200;
21036;2741001;1246002;61,40;22,60;N0008.0040000;
21036;2741001;1246002;16,60;34,40;N3000.0000000;
21036;2741001;1246002;0,00;1,20;N3000.0000000;
21036;2741001;1246002;0,00;2,50;N3000.0000000;
21060;2752996;1246002;100,00;100,00;N0019.0070000;
21064;2754997;1245998;0,00;3,40;N3009.0000000;
21064;2754997;1245998;0,00;13,00;N3005.0000000;
21064;2754997;1245998;59,10;55,00;N0020.0000400;N0019.0070000
21064;2754997;1245998;40,90;28,60;N0027.0090000;
21476;2558001;1245009;73,50;60,50;N0012.0010000;N0009.0010000
21476;2558001;1245009;26,50;39,50;N3005.0000000;
21487;2575999;1245001;0,40;31,80;N0012.0010030;
21487;2575999;1245001;18,60;7,90;N0016.0000000;
21487;2575999;1245001;24,40;12,40;N0010.0010000;
21487;2575999;1245001;56,70;41,60;N0009.0010000;
21487;2575999;1245001;0,00;6,40;N3008.0000000;
21491;2578001;1245001;0,00;0,40;N3005.0000000;
21491;2578001;1245001;100,00;99,60;N0012.0010000;
21495;2579999;1245002;0,00;1,40;N0011.0000000;
21495;2579999;1245002;35,00;45,20;N3005.0000000;
21495;2579999;1245002;0,00;14,00;N0025.1000000;
21495;2579999;1245002;65,00;39,40;N0025.1000000;N0026.0000000
21499;2582005;1245003;100,00;82,60;N0012.0010000;
21499;2582005;1245003;0,00;17,40;N0012.0010000;N0012.0050000
21507;2586001;1245000;100,00;100,00;N0007.0001200;
21515;2590003;1245003;43,60;64,90;N0007.0010000;
21515;2590003;1245003;56,40;35,10;N0007.0001200;N0011.0000000
21535;2600004;1244999;100,00;100,00;N0007.0001200;N0011.0000000
21547;2606004;1245003;100,00;100,00;N0008.0010000;N0012.0010000
21551;2608007;1245004;73,30;62,80;N0012.0010000;N0018.0000700
21551;2608007;1245004;13,40;7,50;N0016.0000000;
21551;2608007;1245004;13,30;29,70;N0013.0010000;
21559;2611992;1244999;100,00;100,00;N0012.0010000;
21563;2614004;1245001;100,00;100,00;N0012.0010000;
21575;2620007;1245004;0,00;22,70;N0010.0010000;N0013.0050000
21575;2620007;1245004;90,90;52,10;N0014.0000000;N0013.0050000
21575;2620007;1245004;9,10;25,20;N0016.0000000;N0013.0050000
21579;2622023;1245003;55,70;58,30;N0012.0010000;
21579;2622023;1245003;44,30;41,70;N0012.0050000;
21583;2623994;1244998;59,00;53,00;N0012.0050000;
21583;2623994;1244998;41,00;39,30;N0016.0000000;
21583;2623994;1244998;0,00;7,70;N0012.0010000;
21587;2626010;1245001;100,00;100,00;N0012.0050000;
21591;2628005;1244998;100,00;79,80;N0026.0000000;
21591;2628005;1244998;0,00;20,20;N0008.0001200;
21595;2630018;1244999;100,00;100,00;N0009.0010000;
21599;2632007;1245002;100,00;85,00;N0008.0010000;N0012.0010000
21599;2632007;1245002;0,00;15,00;N0008.0010000;N0012.0050000
21603;2634005;1244977;27,50;41,60;N0007.0010000;
21603;2634005;1244977;72,50;58,40;N0009.0010000;
21607;2636005;1245003;100,00;100,00;N0007.0010000;
21623;2644006;1245004;0,00;16,30;N0007.0010000;N0007.1000000
21623;2644006;1245004;100,00;83,70;N0007.0020000;
21631;2648000;1244986;46,70;43,90;N0008.0040000;
21631;2648000;1244986;53,30;56,10;N0008.0010000;
21639;2652000;1245001;0,00;10,80;N0007.0010000;N0006.0000000
21639;2652000;1245001;100,00;89,20;N0007.0010000;
21643;2653998;1244997;100,00;100,00;N0007.0010000;
21647;2656002;1245003;100,00;100,00;N0007.0010000;
21651;2657998;1244997;31,80;40,60;N0007.0001200;
21651;2657998;1244997;68,20;59,40;N0009.0140000;
21667;2666002;1245004;0,00;22,20;N0006.0000000;
21667;2666002;1245004;100,00;77,80;N0007.0010000;N0006.0000000
21679;2671991;1244997;25,00;37,20;N0010.0140000;
21679;2671991;1244997;75,00;62,80;N0007.0010000;N0009.0010000
21687;2675997;1245000;100,00;92,50;N0007.0010000;N0006.0000000
21687;2675997;1245000;0,00;7,50;N0007.0010000;N0010.0010000
21695;2680004;1244998;47,60;26,90;N0010.0010000;
21695;2680004;1244998;10,50;13,20;N0026.0000000;
21695;2680004;1244998;0,00;18,00;N0011.0000000;
21695;2680004;1244998;0,00;15,60;N0017.0000000;
21695;2680004;1244998;42,00;26,40;N0027.0000000;
21715;2690006;1245004;100,00;97,50;N0008.0010000;
21715;2690006;1245004;0,00;2,50;N0008.0001200;
21719;2692003;1245004;0,00;12,30;N0007.0010000;N0009.0010000
21719;2692003;1245004;0,00;7,40;N0027.0000000;
21719;2692003;1245004;100,00;69,20;N0007.0010000;
21719;2692003;1245004;0,00;11,10;N0007.0010000;N0010.0010000
21747;2705999;1245000;100,00;100,00;N0008.0040000;
21755;2710005;1245003;81,00;89,00;N0012.0010000;
21755;2710005;1245003;0,00;3,30;N0012.0010030;
21755;2710005;1245003;19,00;7,60;N0012.0001200;
21763;2714000;1245000;21,20;37,80;N3003.0000000;
21763;2714000;1245000;3,30;22,10;N0018.0000000;
21763;2714000;1245000;7,30;20,20;N0018.0140000;
21763;2714000;1245000;68,30;20,00;N0019.0000000;
21767;2716005;1244994;26,10;31,50;N0018.1000000;
21767;2716005;1244994;41,50;13,00;N0018.0000700;N0018.0140000
21767;2716005;1244994;13,40;29,20;N0018.1000000;
21767;2716005;1244994;0,00;1,50;N0018.0000700;N0018.0140000
21767;2716005;1244994;19,00;24,70;N0018.0140000;
21771;2718000;1245002;67,10;90,70;N0012.0010000;
21771;2718000;1245002;0,00;2,40;N3003.0000000;
21771;2718000;1245002;32,90;7,00;N0012.0001200;
21799;2732008;1245005;28,10;26,60;N0019.0000000;
21799;2732008;1245005;0,00;13,30;N0001.0090000;
21799;2732008;1245005;19,80;23,70;N0012.0140000;
21799;2732008;1245005;0,00;11,50;N0012.0010000;
21799;2732008;1245005;52,10;24,90;N0018.0000700;
21823;2743998;1244998;100,00;100,00;N0019.0000000;
21839;2752001;1245003;6,90;26,90;N3003.0000000;
21839;2752001;1245003;93,10;73,10;N0019.0000000;
21843;2753995;1245003;0,30;22,20;N3005.0000000;
21843;2753995;1245003;99,70;77,80;N0019.0000000;
22248;2573000;1244022;81,30;75,10;N0012.0010000;
22248;2573000;1244022;0,00;5,10;N3001.0000000;
22248;2573000;1244022;18,70;19,70;N0012.0010030;
22260;2579001;1244000;0,00;5,80;N0012.0050000;
22260;2579001;1244000;38,60;33,70;N3005.0000000;
22260;2579001;1244000;61,40;60,50;N0012.0010000;
22272;2585000;1243998;58,60;69,50;N0007.0010000;N0009.0010000
22272;2585000;1243998;41,40;30,50;N0007.0001200;N0011.0000000
22276;2586994;1243995;51,50;46,10;N0026.0000000;N0027.0000000
22276;2586994;1243995;48,50;38,80;N0026.0000000;
22276;2586994;1243995;0,00;15,00;N0007.0010000;
22324;2610999;1244000;17,30;27,50;N0020.0000000;
22324;2610999;1244000;0,00;5,50;N0022.0000000;
22324;2610999;1244000;82,70;55,50;N0018.0000700;
22324;2610999;1244000;0,00;11,60;N0018.0000700;N0013.0090000
22328;2613002;1244005;0,00;7,40;N3005.0000000;
22328;2613002;1244005;77,00;65,50;N0013.0010000;N0018.0000700
22328;2613002;1244005;22,90;27,10;N0012.0010000;N0018.0000700
22332;2615003;1243999;25,10;27,20;N0012.0010000;
22332;2615003;1243999;50,90;35,50;N3003.0000000;
22332;2615003;1243999;24,00;37,30;N0009.0010000;
22340;2619011;1243993;100,00;93,00;N0009.0010000;
22340;2619011;1243993;0,00;7,00;N0010.0010000;
22360;2629005;1243995;100,00;100,00;N0009.0010000;
22376;2637008;1244001;24,20;11,10;N3001.0000000;
22376;2637008;1244001;6,80;25,50;N0007.0010000;
22376;2637008;1244001;38,60;34,50;N0007.0010000;
22376;2637008;1244001;30,40;28,90;N0007.0010000;
22388;2643001;1244000;100,00;100,00;N0007.1000000;
22400;2649001;1244000;100,00;100,00;N0007.0010000;N0006.0000000
22408;2653003;1244003;100,00;90,00;N0007.0020000;
22408;2653003;1244003;0,00;10,00;N0008.0040000;
22420;2659001;1244003;100,00;100,00;N0008.0040000;
22436;2666997;1244007;0,00;10,40;N0007.0001200;
22436;2666997;1244007;100,00;89,60;N0007.0010000;
22464;2681002;1243998;10,20;37,50;N3003.0000000;
22464;2681002;1243998;89,80;62,50;N0007.0010000;N0009.0010000
22476;2687001;1244001;100,00;100,00;N0007.0010000;
22484;2691007;1244000;14,30;20,90;N0017.0000000;
22484;2691007;1244000;84,50;50,90;N0008.0040000;
22484;2691007;1244000;0,00;18,30;N0008.0010000;N0012.0050000
22484;2691007;1244000;1,20;9,80;N0008.0010000;
22512;2705003;1244000;100,00;100,00;N0012.0010000;
22520;2709007;1244000;100,00;100,00;N0017.0000000;
22524;2711002;1243999;8,30;23,10;N3003.0000000;
22524;2711002;1243999;91,70;76,90;N0018.0000000;N0008.0010000
22528;2713000;1244003;100,00;86,20;N0012.0010000;
22528;2713000;1244003;0,00;6,60;N3003.0000000;
22528;2713000;1244003;0,00;7,30;N3003.0000000;
22540;2718996;1243999;0,00;3,20;N0020.0000000;N0018.0140000
22540;2718996;1243999;99,70;73,40;N0018.0140000;N0018.0000700
22540;2718996;1243999;0,00;2,10;N0018.0000700;N0018.0140000
22540;2718996;1243999;0,30;8,80;N3005.0000000;
22540;2718996;1243999;0,00;12,40;N3005.0000000;
22556;2727001;1244007;5,10;23,40;N0012.0010000;N0012.0140000
22556;2727001;1244007;94,90;76,60;N0012.0010000;N0008.0010000
22560;2729002;1243996;0,00;8,70;N0012.0050000;
22560;2729002;1243996;23,90;36,40;N0012.0010000;
22560;2729002;1243996;18,60;5,00;N0014.0000000;N0017.0000000
22560;2729002;1243996;57,50;49,90;N0017.0000000;
22612;2755000;1244003;0,00;2,90;N0026.0140000;
22612;2755000;1244003;0,00;5,70;N3001.0000000;
22612;2755000;1244003;100,00;77,70;N0020.0000400;
22612;2755000;1244003;0,00;13,70;N0019.0070000;N0020.0000400
22616;2756997;1243997;100,00;100,00;N0012.0001200;
23029;2580000;1243002;14,90;32,40;N0018.0000700;
23029;2580000;1243002;13,80;26,50;N0012.0010000;
23029;2580000;1243002;71,30;41,10;N3005.0000000;
23065;2597997;1242993;58,80;52,40;N0012.0001200;
23065;2597997;1242993;4,70;30,40;N0012.0010000;
23065;2597997;1242993;36,40;17,20;N0012.0010030;
23069;2600005;1242996;96,10;57,30;N0026.0000000;
23069;2600005;1242996;3,90;40,10;N0011.0000000;
23069;2600005;1242996;0,00;0,90;N0011.0000000;
23069;2600005;1242996;0,00;1,70;N3003.0000000;
23073;2601998;1242997;100,00;100,00;N0012.0010000;
23081;2606016;1243001;0,00;12,30;N3005.0000000;
23081;2606016;1243001;100,00;87,70;N0012.0010000;
23085;2608004;1243004;100,00;100,00;N0012.0050000;
23089;2609999;1243002;0,00;9,20;N0065.0000000;
23089;2609999;1243002;0,00;2,00;N0065.0000000;
23089;2609999;1243002;84,00;84,10;N0013.0060000;
23089;2609999;1243002;16,00;4,60;N0016.0000000;
23101;2615998;1243008;100,00;100,00;N0018.0000700;
23109;2619989;1242998;100,00;100,00;N0012.0010000;
23125;2628005;1242997;99,90;78,60;N0009.0010000;N0007.0010000
23125;2628005;1242997;0,00;21,40;N0009.0010000;
23129;2630002;1243000;9,50;37,60;N0013.0010000;
23129;2630002;1243000;90,50;62,40;N0011.0000000;
23141;2636005;1243000;42,50;38,80;N0012.0010000;
23141;2636005;1243000;45,80;26,70;N0039.1000000;
23141;2636005;1243000;11,00;17,60;N0025.1000000;
23141;2636005;1243000;0,00;10,80;N0014.0000000;
23141;2636005;1243000;0,70;6,10;N0012.0050000;
23145;2638001;1243003;100,00;100,00;N0007.0001200;
23149;2639998;1243006;77,80;60,50;N0007.0010000;
23149;2639998;1243006;22,20;39,50;N0007.0010000;N0009.0010000
23165;2648004;1243000;79,60;61,00;N0007.0010000;N0006.0000000
23165;2648004;1243000;20,40;39,00;N0007.0010000;
23169;2650003;1242998;23,60;40,60;N3003.0000000;
23169;2650003;1242998;76,40;59,40;N0007.0010000;
23173;2652002;1243013;100,00;100,00;N0007.0010000;N0006.0000000
23189;2660001;1243002;100,00;100,00;N0007.0010000;N0009.0010000
23193;2662002;1243001;2,20;30,50;N0007.0001200;N0029.0000000
23193;2662002;1243001;97,80;69,50;N0007.0001200;
23217;2673997;1243000;46,00;45,50;N0007.0001200;
23217;2673997;1243000;54,00;54,50;N0007.0010000;
23221;2676001;1242999;29,80;40,70;N0007.0010000;N0009.0010000
23221;2676001;1242999;70,20;59,30;N3003.0000000;
23229;2679999;1242997;21,60;24,10;N0017.0000000;
23229;2679999;1242997;4,80;28,50;N0026.0000000;
23229;2679999;1242997;73,60;32,60;N0027.0000000;
23229;2679999;1242997;0,00;14,70;N0010.0010000;
23233;2682007;1242998;100,00;100,00;N0007.0010000;N0009.0010000
23265;2697999;1243000;13,00;19,60;N0007.0010000;
23265;2697999;1243000;0,00;11,00;N0007.0010000;N0010.0010000
23265;2697999;1243000;19,60;31,20;N0006.0000000;
23265;2697999;1243000;67,40;38,20;N0007.0010000;N0006.0000000
23281;2706003;1243002;100,00;95,60;N0012.0010000;N0008.0010000
23281;2706003;1243002;0,00;4,40;N3003.0000000;
23289;2710001;1243001;100,00;100,00;N0018.0000000;
23301;2716000;1243003;52,90;32,50;N0018.0000700;
23301;2716000;1243003;18,50;9,60;N0018.0000700;
23301;2716000;1243003;0,00;17,80;N3005.0000000;
23301;2716000;1243003;22,00;10,00;N3001.0000000;
23301;2716000;1243003;0,00;1,20;N0018.0140000;
23301;2716000;1243003;0,00;1,00;N3011.0000000;
23301;2716000;1243003;0,00;7,50;N0013.0090030;
23301;2716000;1243003;6,60;20,40;N0013.0090000;
23321;2726001;1243004;21,10;32,70;N0012.0001200;
23321;2726001;1243004;0,00;23,00;N0008.0010000;N0012.0010000
23321;2726001;1243004;78,50;36,40;N0008.0001200;
23321;2726001;1243004;0,40;7,90;N0017.0000000;
23325;2728002;1243007;0,00;6,20;N0018.0000000;
23325;2728002;1243007;100,00;86,20;N0008.0001200;N0012.0001200
23325;2728002;1243007;0,00;7,70;N0008.0001200;N0008.0010000
23333;2732001;1243006;63,40;50,00;N0008.0040000;N0008.0010000
23333;2732001;1243006;36,60;48,20;N3000.0000000;
23333;2732001;1243006;0,00;1,80;N0008.1000000;
23341;2736002;1243000;47,60;23,60;N0027.0090000;
23341;2736002;1243000;0,00;3,20;N3009.0000000;
23341;2736002;1243000;0,00;24,40;N3008.0000000;
23341;2736002;1243000;0,00;4,00;N0020.0000000;
23341;2736002;1243000;0,00;2,70;N0020.0000000;
23341;2736002;1243000;0,00;10,60;N0019.0000000;
23341;2736002;1243000;30,90;8,80;N0027.0090000;N3009.0000000
23341;2736002;1243000;21,50;15,70;N0018.0000000;
23341;2736002;1243000;0,00;7,20;N0019.0000000;
23345;2737991;1242998;0,20;9,40;N0018.0000000;
23345;2737991;1242998;53,60;40,90;N3000.0000000;
23345;2737991;1242998;41,80;23,10;N0019.0000000;
23345;2737991;1242998;0,30;18,70;N0020.0000400;
23345;2737991;1242998;3,60;4,10;N0018.0140000;
23345;2737991;1242998;0,70;3,80;N0019.0000000;N0018.0000700
23361;2746002;1242995;0,00;8,40;N3010.0000000;
23361;2746002;1242995;0,00;7,50;N0026.0140000;
23361;2746002;1242995;0,00;3,90;N0020.0000000;
