profile;id;x;y;w;h;r;ox;oy;z;f
bl;7;40;502;141;213;;;;1;7*
bl;7;255;589;128;116;;;;1;7b
bl;7;435;579;159;163;2;;;1;7S,7SFe
bl;7;725;579;159;163;2;;;1;11,11Fe
bl;7;865;420;128;155;;;;1;13a
bl;7;42;283;138;199;;;;1;1
bl;7;255;349;128;200;2;;;1;6,6Fe
bl;7;432;433;128;115;2;;;1;7a,7aFe
bl;7;728;436;128;115;2;;;1;9a,9aFe
bl;7;728;315;128;115;;;;1;10a
bl;7;861;257;128;115;;;;1;13e
bl;7;725;194;128;116;2;;;1;14,14G
bl;7;435;194;128;116;;;;1;15
bl;7;732;54;113;86;;;;2;65
bl;7;819;104;128;78;;;;1;25e
bl;7;519;97;215;84;;;;1;39,39*,40*
