profile;id;x;y;w;h;r;ox;oy;z;f
lu;22;296;750;166;95;;;;1;60
lu;7;55;866;128;115;;;;1;45
lu;7;444;941;341;55;;;;1;44
lu;7;467;872;128;59;;;;2;30
lu;7;441;866;450;71;;;;1;27
lu;7;445;791;129;59;;;;2;29
lu;7;441;781;450;79;;;;1;26,26Fe
lu;7;40;723;137;63;;;;1;46t
lu;7;40;502;141;213;;;;1;7*
lu;7;255;589;128;116;;;;1;7b
lu;7;435;579;159;163;2;;;1;7S,7SFe
lu;7;725;579;159;163;2;;;1;11,11Fe
lu;7;865;420;128;155;;;;1;13a
lu;7;42;283;138;199;;;;1;1
lu;7;255;349;128;200;2;;;1;6,6Fe
lu;7;432;433;128;115;2;;;1;7a,7aFe
lu;7;728;436;128;115;2;;;1;9a,9aFe
lu;7;728;315;128;115;;;;1;10a
lu;7;861;257;128;115;;;;1;13e
lu;7;725;194;128;116;2;;;1;14,14G
lu;7;435;194;128;116;;;;1;15
lu;7;732;54;113;86;;;;2;65
lu;7;819;104;128;78;;;;1;25e
lu;7;519;97;215;84;;;;1;39,39*,40*
lu;7;346;13;529;74;;;;1;38
lu;7;244;100;246;82;;;;1;41
lu;7;20;197;128;67;;;;1;2
lu;7;17;58;213;124;;;;1;41*,68
lu;7;221;781;198;78;;;;1;29Ls
lu;7;256;552;127;34;;;;1;7d
lu;7;565;435;156;113;;;;1;7f
lu;7;495;315;223;112;;;;1;7e
lu;9;47;864;129;116;;;;1;45
lu;9;444;941;341;55;;;;1;44
lu;9;467;872;128;59;;;;2;30
lu;9;441;866;450;71;;;;1;27
lu;9;445;791;129;59;;;;2;29
lu;9;441;781;450;79;;;;1;26,26Fe
lu;9;50;678;129;116;;;;1;46t
lu;9;40;503;145;158;;;;1;8*
lu;9;255;589;129;117;;;;1;8b
lu;9;434;579;159;163;2;;;1;8S,8SFe
lu;9;725;579;159;163;2;;;1;12S,12SFe
lu;9;865;416;128;157;2;;;1;13a,13aFe
lu;9;728;439;129;110;3;;;1;12a,12aFe,12aG
lu;9;432;433;129;116;2;;;1;8a,8aFe
lu;9;254;349;129;200;2;;;1;8d,8dFe
lu;9;34;283;155;199;;;;1;1
lu;9;20;201;128;66;;;;1;2
lu;9;12;62;215;125;;;;1;68,41*
lu;9;727;313;129;116;;;;1;12e
lu;9;860;257;129;115;;;;1;13e
lu;9;725;216;128;93;;;;1;14,14G
lu;9;435;194;128;116;;;;1;15
lu;9;519;97;207;84;;;;2;39,39*,40*
lu;9;723;149;129;63;;;;1;16
lu;9;725;42;128;95;;;;1;65
lu;9;221;781;197;79;;;;1;29Ls
lu;9;256;552;127;34;;;;1;8c
lu;9;565;435;156;113;;;;1;8f
lu;9;495;315;223;112;;;;1;8e
bl;1;442;942;342;56;;;;1;44
bl;1;466;871;128;60;;;;1;30
bl;1;580;369;128;116;;;;1;35A
bl;1;823;107;128;79;;;;1;25e
bl;1;434;194;128;116;;;;1;35
bl;1;525;101;248;85;;;;1;39,39*,40*
bl;1;242;103;247;83;;;;1;41
bl;1;14;65;215;126;;;;1;41*
bl;10;47;864;129;116;;;;1;45
bl;10;442;941;342;55;;;;1;44
bl;10;467;867;128;63;;;;2;30
bl;10;440;866;452;71;;;;1;27
bl;10;441;781;450;79;;;;1;26
bl;10;725;579;159;163;;;;1;12S
bl;10;435;579;159;163;;;;1;8S
bl;10;258;604;129;115;;;;2;8b
bl;10;136;537;153;188;;;;1;4
bl;10;45;502;147;208;;;;2;8*
bl;10;254;349;129;200;2;;;2;8d,8dFe
bl;10;432;433;129;116;2;;;1;8a,8aFe
bl;10;117;320;103;175;;;;1;3
bl;10;47;271;100;211;;;;2;1
bl;10;20;201;129;67;;;;1;2
bl;10;12;62;215;125;;;;1;68,41*
bl;10;727;436;129;124;3;;;1;12a,12aFe,12aG
bl;10;865;416;128;157;2;;;1;13a,13aFe
bl;10;727;313;129;116;;;;1;12e
bl;10;860;257;129;115;;;;1;13e
bl;10;725;216;128;93;2;;;1;14,14G
bl;10;435;194;128;116;;;;1;15
bl;10;723;149;129;63;;;;2;16
bl;10;520;107;205;82;;;;4;40*
bl;10;725;42;129;96;;;;2;65
bl;11;0;902;129;98;2;;;1;71,71G
bl;11;18;837;128;66;;;;2;56
bl;11;18;742;156;99;;;;1;46*
bl;11;18;544;197;197;;;;2;46
bl;11;252;868;128;115;;;;1;49
bl;11;441;867;449;71;;;;1;27h,27hG
bl;11;446;790;127;62;;;;2;29h
bl;11;441;780;449;81;;;;1;26h,26hG
bl;11;811;644;132;76;;;;1;21,21G
bl;11;256;634;129;115;;;;1;19f
bl;11;457;665;251;71;;;;2;20E,20EG
bl;11;434;580;296;162;;;1;1;20,20Fe,20G
bl;11;863;414;129;159;3;;;1;13h,13hFe,13hG
bl;11;728;434;127;118;2;;;1;18M,18MG
bl;11;432;424;128;129;3;;;1;18,18Fe,18G
bl;11;254;349;154;203;3;;;1;19,19Fe,19G
bl;11;25;229;154;252;;;;1;1h
bl;11;859;256;128;115;;;;1;13eh
bl;11;575;215;278;134;;;;1;18*,18*G
bl;11;728;43;127;96;;;;1;65
